Player,surface,AvgFirstServe,AvgSecondServe,FirstServeIn,L,LoseRatio,MatchCount,RatioPtsLess4,ServeFirstServePointsWon,ServeSecondServePointsWon,Total,W,WinRatio
Ernests Gulbis,Grass,198.4,170.1,61.8,44,0.16,15,74,76.6,58.8,275,231,84
Fabio Fognini,Grass,184.3,151.6,60.2,64,0.235294118,15,68,72.7,59.7,272,208,76.5
Fernando Verdasco,Grass,184.8,152.5,59,43,0.135220126,15,74.4,77.3,60.9,318,275,86.5
Adrian Mannarino,Grass,175.6,146,64.9,58,0.217228464,16,72.7,70.8,57.2,267,209,78.3
Marcos Baghdatis,Grass,188,155.5,55.9,55,0.193661972,16,80,76.7,58.4,284,229,80.6
Feliciano Lopez,Grass,197.9,170.4,58.5,44,0.13836478,17,69.9,79.1,63.6,318,274,86.2
Nick Kyrgios,Grass,196.4,169.7,68.8,39,0.115044248,17,81,75.7,61.6,339,300,88.5
Mikhail Youzhny,Grass,176.9,152.9,65.4,62,0.182352941,18,70.4,68.8,59.2,340,278,81.8
Stanislas Wawrinka,Grass,193.3,158.8,59.8,48,0.14159292,18,75.7,80.3,60.4,339,291,85.8
Gilles Simon,Grass,176.1,138.1,58.2,58,0.167630058,20,76.4,74.6,59.4,346,288,83.2
John Isner,Grass,203.5,181.4,74.6,25,0.054945055,20,82.4,83.8,63,455,430,94.5
Kei Nishikori,Grass,174,142.8,65.8,52,0.146892655,20,72.5,72.5,64,354,302,85.3
Bernard Tomic,Grass,182.3,151.8,70.5,56,0.137254902,21,75.8,73.4,58.2,408,352,86.3
Sam Querrey,Grass,196.4,155.2,61.7,49,0.104925054,21,80.5,83.3,58.5,467,418,89.5
David Ferrer,Grass,177.8,159.7,64.8,60,0.160427807,22,70.3,69,58,374,314,84
Grigor Dimitrov,Grass,195,156,64.5,45,0.119680851,22,76.3,80.3,63.2,376,331,88
Richard Gasquet,Grass,175.5,148.1,61.2,52,0.131313131,22,78.1,77.8,58.1,396,344,86.9
Kevin Anderson,Grass,200.1,174.1,66,58,0.115079365,23,81.3,82.5,61.1,504,446,88.5
Juan Martin Del Potro,Grass,193.5,161.4,64.9,47,0.109048724,24,84.3,79.2,59.9,431,384,89.1
Rafael Nadal,Grass,186.5,160.9,68.6,54,0.114893617,25,81.9,74.5,65.6,470,416,88.5
Jo Wilfried Tsonga,Grass,189.7,151.4,65.8,44,0.081632653,28,80.7,82.7,60.5,539,495,91.8
Marin Cilic,Grass,193.3,157,61.9,60,0.110091743,28,79.7,83.1,56.9,545,485,89
Tomas Berdych,Grass,192.3,160.9,62.1,55,0.110441767,28,80.4,81,58.5,498,443,89
Milos Raonic,Grass,200.4,171.1,67.4,35,0.062611807,30,80.1,82.8,67.7,559,524,93.7
Andy Murray,Grass,182.1,139.4,63.9,76,0.105555556,43,82.1,78.4,59.4,720,644,89.4
Roger Federer,Grass,185.9,159.1,66.6,44,0.056338028,46,84.8,83.4,65.9,781,737,94.4
Novak Djokovic,Grass,184.8,153.9,69.5,72,0.088560886,49,82.6,77.7,63.3,813,741,91.1
Albert Ramos,Hard,184.3,151.6,59.9,29,0.207142857,7,62.9,70.2,62.3,140,111,79.3
Ernests Gulbis,Hard,184.3,151.6,57.6,26,0.188405797,7,86.7,80.7,62.2,138,112,81.2
Sergiy Stakhovsky,Hard,183.7,153.3,59.1,41,0.369369369,7,67.3,63.9,51.7,111,70,63.1
Juan Monaco,Hard,167.5,142.3,69.4,61,0.346590909,10,73.9,61,55.9,176,115,65.3
Mikhail Kukushkin,Hard,176.4,133.9,55.1,67,0.348958333,10,69,67.9,49.8,192,125,65.1
Kyle Edmund,Hard,179.4,132.9,57.8,34,0.2,11,75.6,73.1,55,170,136,80
Ivo Karlovic,Hard,202.3,183.2,64.8,29,0.118852459,12,75.5,81.3,64.9,244,215,88.1
